T04,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
14,Eastern Africa,2019,"Seats held by women in national parliament, as of February (%)",,,30.2232,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
14,Eastern Africa,2020,"Seats held by women in national parliament, as of February (%)",,,30.9276,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
17,Middle Africa,2000,"Seats held by women in national parliament, as of February (%)",,,8.61,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
17,Middle Africa,2005,"Seats held by women in national parliament, as of February (%)",,,11.2483,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
17,Middle Africa,2010,"Seats held by women in national parliament, as of February (%)",,,13.4652,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
17,Middle Africa,2015,"Seats held by women in national parliament, as of February (%)",,,18.1087,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
17,Middle Africa,2016,"Seats held by women in national parliament, as of February (%)",,,18.1087,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
17,Middle Africa,2017,"Seats held by women in national parliament, as of February (%)",,,17.4447,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
17,Middle Africa,2018,"Seats held by women in national parliament, as of February (%)",,,16.4334,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
17,Middle Africa,2019,"Seats held by women in national parliament, as of February (%)",,,17.0239,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
17,Middle Africa,2020,"Seats held by women in national parliament, as of February (%)",,,17.5758,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
18,Southern Africa,2000,"Seats held by women in national parliament, as of February (%)",,,22.4736,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
18,Southern Africa,2005,"Seats held by women in national parliament, as of February (%)",,,24.5833,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
18,Southern Africa,2010,"Seats held by women in national parliament, as of February (%)",,,33.3799,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
18,Southern Africa,2015,"Seats held by women in national parliament, as of February (%)",,,33.3777,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
18,Southern Africa,2016,"Seats held by women in national parliament, as of February (%)",,,33.3777,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
18,Southern Africa,2017,"Seats held by women in national parliament, as of February (%)",,,33.4225,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
18,Southern Africa,2018,"Seats held by women in national parliament, as of February (%)",,,33.6898,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
18,Southern Africa,2019,"Seats held by women in national parliament, as of February (%)",,,34.0454,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
18,Southern Africa,2020,"Seats held by women in national parliament, as of February (%)",,,35.5526,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
11,Western Africa,2000,"Seats held by women in national parliament, as of February (%)",,,8.1695,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
11,Western Africa,2005,"Seats held by women in national parliament, as of February (%)",,,10.2011,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
11,Western Africa,2010,"Seats held by women in national parliament, as of February (%)",,,11.5598,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
11,Western Africa,2015,"Seats held by women in national parliament, as of February (%)",,,14.4514,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
11,Western Africa,2016,"Seats held by women in national parliament, as of February (%)",,,13.9535,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
11,Western Africa,2017,"Seats held by women in national parliament, as of February (%)",,,14.8782,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
11,Western Africa,2018,"Seats held by women in national parliament, as of February (%)",,,14.8368,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
11,Western Africa,2019,"Seats held by women in national parliament, as of February (%)",,,14.8055,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
11,Western Africa,2020,"Seats held by women in national parliament, as of February (%)",,,14.8444,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
