T04,Proportion of seats held by women in national parliament,,,,,,,
Region/Country/Area,,Year,Series,Last Election Date,Last Election Date footnote,Value,Footnotes,Source
112,Belarus,2017,"Seats held by women in national parliament, as of February (%)",2019-11,,34.5455,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
112,Belarus,2018,"Seats held by women in national parliament, as of February (%)",2019-11,,34.5455,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
112,Belarus,2019,"Seats held by women in national parliament, as of February (%)",2019-11,,34.5455,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
112,Belarus,2020,"Seats held by women in national parliament, as of February (%)",2019-11,,40,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
56,Belgium,2000,"Seats held by women in national parliament, as of February (%)",2019-05,,23.3333,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
56,Belgium,2005,"Seats held by women in national parliament, as of February (%)",2019-05,,34.6667,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
56,Belgium,2010,"Seats held by women in national parliament, as of February (%)",2019-05,,38,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
56,Belgium,2015,"Seats held by women in national parliament, as of February (%)",2019-05,,39.3333,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
56,Belgium,2016,"Seats held by women in national parliament, as of February (%)",2019-05,,39.3333,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
56,Belgium,2017,"Seats held by women in national parliament, as of February (%)",2019-05,,38,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
56,Belgium,2018,"Seats held by women in national parliament, as of February (%)",2019-05,,38,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
56,Belgium,2019,"Seats held by women in national parliament, as of February (%)",2019-05,,38,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
56,Belgium,2020,"Seats held by women in national parliament, as of February (%)",2019-05,,40.67,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
84,Belize,2000,"Seats held by women in national parliament, as of February (%)",2015-11,,6.8966,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
84,Belize,2005,"Seats held by women in national parliament, as of February (%)",2015-11,,6.6667,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
84,Belize,2010,"Seats held by women in national parliament, as of February (%)",2015-11,,0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
84,Belize,2015,"Seats held by women in national parliament, as of February (%)",2015-11,,3.125,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
84,Belize,2016,"Seats held by women in national parliament, as of February (%)",2015-11,,3.125,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
84,Belize,2017,"Seats held by women in national parliament, as of February (%)",2015-11,,9.375,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
84,Belize,2018,"Seats held by women in national parliament, as of February (%)",2015-11,,9.375,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
84,Belize,2019,"Seats held by women in national parliament, as of February (%)",2015-11,,9.375,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
84,Belize,2020,"Seats held by women in national parliament, as of February (%)",2015-11,,9.38,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
204,Benin,2000,"Seats held by women in national parliament, as of February (%)",2019-04,,6.0241,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
204,Benin,2005,"Seats held by women in national parliament, as of February (%)",2019-04,,7.2289,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
204,Benin,2010,"Seats held by women in national parliament, as of February (%)",2019-04,,10.8434,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
204,Benin,2015,"Seats held by women in national parliament, as of February (%)",2019-04,,8.4337,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
204,Benin,2016,"Seats held by women in national parliament, as of February (%)",2019-04,,7.2289,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
204,Benin,2017,"Seats held by women in national parliament, as of February (%)",2019-04,,7.2289,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
204,Benin,2018,"Seats held by women in national parliament, as of February (%)",2019-04,,7.2289,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
204,Benin,2019,"Seats held by women in national parliament, as of February (%)",2019-04,,7.2289,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
204,Benin,2020,"Seats held by women in national parliament, as of February (%)",2019-04,,7.23,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
64,Bhutan,2000,"Seats held by women in national parliament, as of February (%)",2018-10,,2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
64,Bhutan,2005,"Seats held by women in national parliament, as of February (%)",2018-10,,9.3333,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
64,Bhutan,2010,"Seats held by women in national parliament, as of February (%)",2018-10,,8.5106,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
64,Bhutan,2015,"Seats held by women in national parliament, as of February (%)",2018-10,,8.5106,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
64,Bhutan,2016,"Seats held by women in national parliament, as of February (%)",2018-10,,8.5106,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
64,Bhutan,2017,"Seats held by women in national parliament, as of February (%)",2018-10,,8.5106,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
64,Bhutan,2018,"Seats held by women in national parliament, as of February (%)",2018-10,,8.5106,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
64,Bhutan,2019,"Seats held by women in national parliament, as of February (%)",2018-10,,14.8936,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
64,Bhutan,2020,"Seats held by women in national parliament, as of February (%)",2018-10,,14.89,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
68,Bolivia (Plurin. State of),2000,"Seats held by women in national parliament, as of February (%)",2019-10,,11.5385,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
68,Bolivia (Plurin. State of),2005,"Seats held by women in national parliament, as of February (%)",2019-10,,19.2308,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
68,Bolivia (Plurin. State of),2010,"Seats held by women in national parliament, as of February (%)",2019-10,,22.3077,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
68,Bolivia (Plurin. State of),2015,"Seats held by women in national parliament, as of February (%)",2019-10,,53.0769,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
68,Bolivia (Plurin. State of),2016,"Seats held by women in national parliament, as of February (%)",2019-10,,53.0769,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
68,Bolivia (Plurin. State of),2017,"Seats held by women in national parliament, as of February (%)",2019-10,,53.0769,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
68,Bolivia (Plurin. State of),2018,"Seats held by women in national parliament, as of February (%)",2019-10,,53.0769,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
68,Bolivia (Plurin. State of),2019,"Seats held by women in national parliament, as of February (%)",2019-10,,53.0769,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
68,Bolivia (Plurin. State of),2020,"Seats held by women in national parliament, as of February (%)",2019-10,,53.08,"Data are as at 1 January of reporting year.;The statistics refer to the situation before the 2019 election, which itself was invalidated. Fresh elections are expected in May 2020.","Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
70,Bosnia and Herzegovina,2000,"Seats held by women in national parliament, as of February (%)",2018-10,,7.1429,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
70,Bosnia and Herzegovina,2005,"Seats held by women in national parliament, as of February (%)",2018-10,,16.6667,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
70,Bosnia and Herzegovina,2010,"Seats held by women in national parliament, as of February (%)",2018-10,,19.0476,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
70,Bosnia and Herzegovina,2015,"Seats held by women in national parliament, as of February (%)",2018-10,,21.4286,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
70,Bosnia and Herzegovina,2016,"Seats held by women in national parliament, as of February (%)",2018-10,,21.4286,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
70,Bosnia and Herzegovina,2017,"Seats held by women in national parliament, as of February (%)",2018-10,,21.4286,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
70,Bosnia and Herzegovina,2018,"Seats held by women in national parliament, as of February (%)",2018-10,,21.4286,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
70,Bosnia and Herzegovina,2019,"Seats held by women in national parliament, as of February (%)",2018-10,,21.4286,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
70,Bosnia and Herzegovina,2020,"Seats held by women in national parliament, as of February (%)",2018-10,,21.43,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
72,Botswana,2000,"Seats held by women in national parliament, as of February (%)",2019-10,,17.0213,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
72,Botswana,2005,"Seats held by women in national parliament, as of February (%)",2019-10,,11.1111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
72,Botswana,2010,"Seats held by women in national parliament, as of February (%)",2019-10,,7.9365,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
72,Botswana,2015,"Seats held by women in national parliament, as of February (%)",2019-10,,9.5238,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
72,Botswana,2016,"Seats held by women in national parliament, as of February (%)",2019-10,,9.5238,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
72,Botswana,2017,"Seats held by women in national parliament, as of February (%)",2019-10,,9.5238,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
72,Botswana,2018,"Seats held by women in national parliament, as of February (%)",2019-10,,9.5238,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
72,Botswana,2019,"Seats held by women in national parliament, as of February (%)",2019-10,,9.5238,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
72,Botswana,2020,"Seats held by women in national parliament, as of February (%)",2019-10,,10.77,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
76,Brazil,2000,"Seats held by women in national parliament, as of February (%)",2018-10,,5.653,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
76,Brazil,2005,"Seats held by women in national parliament, as of February (%)",2018-10,,8.577,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
76,Brazil,2010,"Seats held by women in national parliament, as of February (%)",2018-10,,8.7719,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
76,Brazil,2015,"Seats held by women in national parliament, as of February (%)",2018-10,,8.9669,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
76,Brazil,2016,"Seats held by women in national parliament, as of February (%)",2018-10,,9.9415,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
76,Brazil,2017,"Seats held by women in national parliament, as of February (%)",2018-10,,10.7212,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
76,Brazil,2018,"Seats held by women in national parliament, as of February (%)",2018-10,,10.7212,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
76,Brazil,2019,"Seats held by women in national parliament, as of February (%)",2018-10,,15.0097,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
76,Brazil,2020,"Seats held by women in national parliament, as of February (%)",2018-10,,14.62,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
96,Brunei Darussalam,2017,"Seats held by women in national parliament, as of February (%)",2017-01,,9.0909,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
96,Brunei Darussalam,2018,"Seats held by women in national parliament, as of February (%)",2017-01,,9.0909,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
96,Brunei Darussalam,2019,"Seats held by women in national parliament, as of February (%)",2017-01,,9.0909,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
96,Brunei Darussalam,2020,"Seats held by women in national parliament, as of February (%)",2017-01,,9.09,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
100,Bulgaria,2000,"Seats held by women in national parliament, as of February (%)",2017-03,,10.8333,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
100,Bulgaria,2005,"Seats held by women in national parliament, as of February (%)",2017-03,,26.25,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
100,Bulgaria,2010,"Seats held by women in national parliament, as of February (%)",2017-03,,20.8333,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
100,Bulgaria,2015,"Seats held by women in national parliament, as of February (%)",2017-03,,20.4167,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
100,Bulgaria,2016,"Seats held by women in national parliament, as of February (%)",2017-03,,20.4167,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
100,Bulgaria,2017,"Seats held by women in national parliament, as of February (%)",2017-03,,19.1667,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
100,Bulgaria,2018,"Seats held by women in national parliament, as of February (%)",2017-03,,23.75,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
100,Bulgaria,2019,"Seats held by women in national parliament, as of February (%)",2017-03,,25.8333,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
100,Bulgaria,2020,"Seats held by women in national parliament, as of February (%)",2017-03,,26.67,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
854,Burkina Faso,2000,"Seats held by women in national parliament, as of February (%)",2015-11,,8.1081,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
854,Burkina Faso,2005,"Seats held by women in national parliament, as of February (%)",2015-11,,11.7117,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
854,Burkina Faso,2010,"Seats held by women in national parliament, as of February (%)",2015-11,,15.3153,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
854,Burkina Faso,2015,"Seats held by women in national parliament, as of February (%)",2015-11,,13.3333,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
854,Burkina Faso,2016,"Seats held by women in national parliament, as of February (%)",2015-11,,9.4488,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
854,Burkina Faso,2017,"Seats held by women in national parliament, as of February (%)",2015-11,,11.0236,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
854,Burkina Faso,2018,"Seats held by women in national parliament, as of February (%)",2015-11,,11.0236,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
854,Burkina Faso,2019,"Seats held by women in national parliament, as of February (%)",2015-11,,13.3858,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
854,Burkina Faso,2020,"Seats held by women in national parliament, as of February (%)",2015-11,,13.39,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
108,Burundi,2000,"Seats held by women in national parliament, as of February (%)",2015-06,,5.9829,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
108,Burundi,2005,"Seats held by women in national parliament, as of February (%)",2015-06,,18.4358,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
108,Burundi,2010,"Seats held by women in national parliament, as of February (%)",2015-06,,31.3559,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
108,Burundi,2015,"Seats held by women in national parliament, as of February (%)",2015-06,,30.4762,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
108,Burundi,2016,"Seats held by women in national parliament, as of February (%)",2015-06,,36.3636,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
108,Burundi,2017,"Seats held by women in national parliament, as of February (%)",2015-06,,36.3636,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
108,Burundi,2018,"Seats held by women in national parliament, as of February (%)",2015-06,,36.3636,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
108,Burundi,2019,"Seats held by women in national parliament, as of February (%)",2015-06,,36.3636,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
108,Burundi,2020,"Seats held by women in national parliament, as of February (%)",2015-06,,36.36,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
132,Cabo Verde,2000,"Seats held by women in national parliament, as of February (%)",2016-03,,11.1111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
132,Cabo Verde,2005,"Seats held by women in national parliament, as of February (%)",2016-03,,11.1111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
132,Cabo Verde,2010,"Seats held by women in national parliament, as of February (%)",2016-03,,18.0556,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
132,Cabo Verde,2015,"Seats held by women in national parliament, as of February (%)",2016-03,,20.8333,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
132,Cabo Verde,2016,"Seats held by women in national parliament, as of February (%)",2016-03,,20.8333,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
132,Cabo Verde,2017,"Seats held by women in national parliament, as of February (%)",2016-03,,23.6111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
132,Cabo Verde,2018,"Seats held by women in national parliament, as of February (%)",2016-03,,23.6111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
132,Cabo Verde,2019,"Seats held by women in national parliament, as of February (%)",2016-03,,23.6111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
132,Cabo Verde,2020,"Seats held by women in national parliament, as of February (%)",2016-03,,25,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
116,Cambodia,2000,"Seats held by women in national parliament, as of February (%)",2018-07,,8.1967,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
116,Cambodia,2005,"Seats held by women in national parliament, as of February (%)",2018-07,,9.7561,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
116,Cambodia,2010,"Seats held by women in national parliament, as of February (%)",2018-07,,21.1382,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
116,Cambodia,2015,"Seats held by women in national parliament, as of February (%)",2018-07,,20.3252,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
116,Cambodia,2016,"Seats held by women in national parliament, as of February (%)",2018-07,,20.3252,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
116,Cambodia,2017,"Seats held by women in national parliament, as of February (%)",2018-07,,20.3252,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
116,Cambodia,2018,"Seats held by women in national parliament, as of February (%)",2018-07,,20.3252,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
116,Cambodia,2019,"Seats held by women in national parliament, as of February (%)",2018-07,,20,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
116,Cambodia,2020,"Seats held by women in national parliament, as of February (%)",2018-07,,20,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
120,Cameroon,2000,"Seats held by women in national parliament, as of February (%)",2013-09,,5.5556,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
120,Cameroon,2005,"Seats held by women in national parliament, as of February (%)",2013-09,,8.8889,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
120,Cameroon,2010,"Seats held by women in national parliament, as of February (%)",2013-09,,13.8889,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
120,Cameroon,2015,"Seats held by women in national parliament, as of February (%)",2013-09,,31.1111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
120,Cameroon,2016,"Seats held by women in national parliament, as of February (%)",2013-09,,31.1111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
120,Cameroon,2017,"Seats held by women in national parliament, as of February (%)",2013-09,,31.1111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
120,Cameroon,2018,"Seats held by women in national parliament, as of February (%)",2013-09,,31.1111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
120,Cameroon,2019,"Seats held by women in national parliament, as of February (%)",2013-09,,31.1111,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
120,Cameroon,2020,"Seats held by women in national parliament, as of February (%)",2013-09,,31.11,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
124,Canada,2000,"Seats held by women in national parliament, as of February (%)",2019-10,,20.598,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
124,Canada,2005,"Seats held by women in national parliament, as of February (%)",2019-10,,21.1039,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
124,Canada,2010,"Seats held by women in national parliament, as of February (%)",2019-10,,22.0779,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
124,Canada,2015,"Seats held by women in national parliament, as of February (%)",2019-10,,25.1634,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
124,Canada,2016,"Seats held by women in national parliament, as of February (%)",2019-10,,26.0355,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
124,Canada,2017,"Seats held by women in national parliament, as of February (%)",2019-10,,26.2687,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
124,Canada,2018,"Seats held by women in national parliament, as of February (%)",2019-10,,27.003,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
124,Canada,2019,"Seats held by women in national parliament, as of February (%)",2019-10,,26.9461,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
124,Canada,2020,"Seats held by women in national parliament, as of February (%)",2019-10,,28.99,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
140,Central African Republic,2000,"Seats held by women in national parliament, as of February (%)",2016-03,,7.3394,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
140,Central African Republic,2010,"Seats held by women in national parliament, as of February (%)",2016-03,,9.6154,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
140,Central African Republic,2017,"Seats held by women in national parliament, as of February (%)",2016-03,,8.5714,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
140,Central African Republic,2018,"Seats held by women in national parliament, as of February (%)",2016-03,,8.5714,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
140,Central African Republic,2019,"Seats held by women in national parliament, as of February (%)",2016-03,,8.5714,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
140,Central African Republic,2020,"Seats held by women in national parliament, as of February (%)",2016-03,,8.57,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2020."
